id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1n8rXiAQYmZ5D45WmqGTpM,0.522,0.366,10,-5.306,1,0.0373,0.883,3.35E-6,0.149,0.206,115.0,244920,3
4fW1SSP6M3SEvKeNDtzLBI,0.306,0.847,5,-2.875,1,0.303,0.136,2.1E-4,0.317,0.142,83.659,247680,4
59eq4ncqQrSOR3UAOUjolE,0.466,0.831,5,-4.401,0,0.267,5.65E-4,6.5E-4,0.382,0.428,192.131,204813,4
1nE2F3IhoFPNvAi22yhtJD,0.56,0.74,1,-3.584,1,0.0648,0.044,0.0,0.392,0.371,80.799,205720,4
5PMf770creBf4FRsQ2W6yh,0.341,0.595,9,-4.347,1,0.0546,0.736,0.0,0.117,0.515,177.773,248387,4
6nS1vMV1zs8c0Lk6mud78D,0.566,0.857,7,-2.85,1,0.0442,0.0417,0.0,0.179,0.405,83.08,253747,3
1asmlT5RnwSChjmVUBGUAA,0.456,0.603,4,-4.103,0,0.0614,0.297,0.00637,0.145,0.227,139.269,210987,4
2Xyfw6Xj00PwD5L4cW29Ib,0.636,0.635,7,-5.256,0,0.0785,0.124,2.23E-6,0.111,0.32,88.505,227373,4
07OMCdMLK9SCuENV7gyQRa,0.689,0.995,7,-1.826,1,0.275,0.133,0.0,0.16,0.196,91.037,172840,4
0GiUS6kLnlC5rboaYjalHR,0.709,0.834,6,-5.847,1,0.101,0.00544,0.4,0.247,0.224,128.011,312293,4
3Vf1gIyoOSHPQTycGpVKju,0.422,0.933,2,-2.439,1,0.196,0.0654,0.0,0.382,0.854,175.99,201267,5
29CFPJaBW3ZfVeCI8EDnQa,0.757,0.812,7,-5.178,1,0.0395,0.00137,0.018,0.563,0.542,120.015,186493,4
3b7jMtkPU3aPulz6AvBGBD,0.747,0.779,7,-6.446,1,0.196,0.00998,0.00202,0.0795,0.36,92.003,328280,4
5OeNyft0TVKpCtF4YB8kgt,0.662,0.861,8,-5.883,1,0.136,0.00936,3.88E-6,0.102,0.608,125.934,213520,4
1Hi3mkf2LniIaMCNSgDVsa,0.791,0.664,9,-6.099,1,0.0754,0.00582,3.75E-5,0.252,0.316,125.012,265067,4
4mMMraFsF2WWRZhmrkW02v,0.795,0.643,2,-8.152,0,0.0426,0.0163,2.49E-5,0.085,0.554,131.99,219787,4
36cbSXqBDDWcuABDlcssiH,0.567,0.619,7,-6.035,0,0.398,0.132,0.0,0.159,0.811,129.857,205693,4
4Z2W1qWL4WrGfwDqls8OB8,0.442,0.554,1,-14.817,1,0.083,0.0249,1.38E-5,0.15,0.278,109.639,92547,4
0CZGgkl2wEF7H4Eln74nRe,0.537,0.517,2,-7.533,1,0.0526,0.601,1.3E-6,0.0988,0.34,78.042,289160,4
575OyPYH4ka3e4u41aZvQF,0.515,0.674,4,-5.775,1,0.0383,0.0355,3.69E-5,0.316,0.462,137.983,247173,4
0YjIgBaI0k654oc9fje2d6,0.702,0.116,8,-18.737,0,0.512,0.684,0.0,0.366,0.0,125.475,18760,5
2LxEhLrEDpm2lZ5wj8tT48,0.545,0.376,0,-9.545,0,0.0326,0.862,0.0,0.114,0.172,123.922,213093,3
3kCNhgO03URvgUqVtv2z8C,0.373,0.43,8,-8.265,1,0.036,0.758,0.0,0.131,0.285,109.021,232413,4
1maOjghpUSvVHj9F9WPujZ,0.227,0.393,0,-5.99,1,0.0387,0.854,0.0,0.139,0.0709,43.26,257253,4
2MzmobpruYSw7n93RdEWGU,0.758,0.661,1,-5.609,1,0.101,0.00861,6.49E-4,0.955,0.592,138.051,144160,4
2GV6F4CrSMiLPDYM7fwDBD,0.776,0.897,9,-3.369,1,0.0483,0.00422,0.0,0.526,0.664,120.049,187693,4
1eu6Yn99jNWZ7T9hQa38mZ,0.818,0.521,10,-6.444,0,0.086,0.0273,0.0,0.211,0.369,120.009,261613,4
3cY1Hx7xmkko15eBgwBRjf,0.809,0.727,9,-4.495,1,0.0359,0.012,0.0,0.328,0.894,115.992,234293,4
0U5PuWcELFxRdajGfr0EFw,0.817,0.942,11,-4.722,0,0.079,0.0239,0.00106,0.298,0.651,128.031,181707,4
782nN70cHzwyOrrEqYNaxF,0.518,0.667,7,-6.166,1,0.0361,0.0117,0.00439,0.282,0.059,123.982,258827,4
0GzrDJVavYZpA8Hc6MRxuU,0.507,0.571,9,-5.145,0,0.0391,0.477,0.0,0.0788,0.133,82.008,255853,4
6ysD1w35qtYpA4Pnc0SpCE,0.524,0.328,8,-9.907,1,0.0292,0.813,0.0,0.121,0.197,108.829,234013,4
7m3g7IkYs95wS4BJDVqfCe,0.635,0.785,0,-4.96,1,0.0329,0.0296,0.0,0.145,0.285,121.948,251200,4
6wPphvA8MXj6dEVosRCbci,0.662,0.6,8,-6.706,1,0.2,0.01,0.0,0.364,0.549,161.976,107067,4
3A58LEXiHtTeQp8uvxlCla,0.692,0.852,1,-2.975,1,0.0828,0.135,1.26E-5,0.692,0.636,104.957,250400,4
5QHLy9vQcBUrJHiZC2zVf4,0.469,0.883,8,-3.663,1,0.292,0.124,5.16E-4,0.298,0.791,97.648,253493,4
7huo2wvrCgRucUsjdSDLQV,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,228907,4
1bn9Zym5wOUDrK8SaQHIeP,0.609,0.655,11,-4.049,0,0.041,0.048,0.0,0.1,0.352,79.079,225787,4
2B7btV5rnXrdFADZ0NMd0C,0.723,0.778,6,-3.867,1,0.0444,0.0292,8.97E-4,0.0518,0.58,96.459,207213,4
0aFWqA7PFhsVrfo1GtPPPg,0.426,0.669,1,-5.293,0,0.18,0.338,0.0,0.1,0.462,173.446,224587,4
7uh0ceyZUn1gisYWUzvXsq,0.764,0.259,1,-8.088,1,0.0604,0.884,8.7E-4,0.251,0.211,139.617,141440,4
4sUbWsMjj1YlcBGmZesRvI,0.57,0.64,1,-5.266,1,0.154,0.312,5.77E-6,0.0639,0.604,88.804,216920,4
6ogidG8cSnPz7RXcQOOLzS,0.602,0.666,0,-6.734,0,0.218,0.297,2.19E-5,0.586,0.44,98.646,236760,4
48oSyEFxLteFCLiVOiZoSi,0.895,0.714,6,-3.854,0,0.0559,0.122,1.13E-5,0.166,0.89,94.963,226373,4
42TlWrYWogE3uLl7HS5jWZ,0.555,0.868,1,-2.877,1,0.183,0.00333,1.06E-5,0.13,0.463,182.951,198893,4
3U89vcJdwcv4i8QFe6TaMM,0.789,0.454,10,-8.383,0,0.365,0.429,0.0079,0.118,0.659,90.018,298960,4
7is8xJiMzVgziIfN9wPPzU,0.345,0.838,9,-5.4,0,0.224,0.443,1.75E-6,0.732,0.125,107.939,102467,4
5Kkz75SF5UR8e0UfSeqFHm,0.419,0.71,4,-4.955,0,0.0373,0.0379,0.00375,0.192,0.158,79.269,162080,4
5lUTzPuiloBHm1qEaJcJfF,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,194213,4
4DxXBw1RdlSiECPOB5ttvk,0.367,0.744,1,-4.98,1,0.113,0.104,0.0,0.735,0.291,112.589,285107,3
6eRY1OgTVUeqtyEviApFaw,0.473,0.471,1,-10.004,0,0.0358,0.891,0.955,0.344,0.404,90.011,222267,4
6gDXbcILAyBa2skSdbUYq7,0.327,0.295,4,-6.907,0,0.0313,0.775,0.0,0.107,0.143,148.574,243373,4
47iIsNGLOQzzvjdSsVsScP,0.344,0.557,9,-4.793,0,0.0327,0.133,1.33E-5,0.176,0.256,113.912,272453,3
7aLQoD4MWkYQjZuTQKuT9Y,0.538,0.141,6,-14.385,0,0.096,0.937,0.0,0.128,0.341,77.931,193160,4
5eYwAmNU1M06ecsHbu01Sp,0.295,0.445,1,-4.311,0,0.0328,0.683,1.32E-5,0.284,0.223,81.859,231640,3
1bmPRwZ5BdncW5o2jcIiud,0.296,0.827,0,-6.492,1,0.0727,0.0696,3.82E-5,0.309,0.171,139.79,99653,4
0cv1Mnb47oMvjVKMc2cyZw,0.859,0.658,8,-4.481,1,0.192,0.0326,0.00181,0.0651,0.538,98.989,255267,4
7sBxoj9SBNKxVIcLiFxnwQ,0.432,0.421,4,-6.053,0,0.102,0.523,1.8E-6,0.608,0.116,152.358,347400,3
7nXq1vaZiz7PdbfojpPjW5,0.435,0.92,4,-1.357,0,0.201,0.235,3.53E-4,0.552,0.45,188.899,245960,4
5wlkpP8iSUYmEaEArX4eHI,0.431,0.225,1,-19.81,0,0.0999,0.737,2.09E-6,0.142,0.827,89.5,53773,4
1Bwq4TKxWqvSgyHZN06wId,0.676,0.812,8,-3.923,0,0.206,0.152,6.01E-6,0.0694,0.631,90.497,257773,4
1VOL1QLiMveyPUNKTLq5qs,0.296,0.201,9,-16.599,0,0.0369,0.74,0.0,0.66,0.396,128.201,46600,3
3MyTEl8ZL0qKXFqyvbYsC5,0.628,0.496,8,-6.003,1,0.0492,0.174,0.0,0.106,0.203,76.655,276667,4
4Kaxx66gshAgVCPyRzLfFo,0.658,0.438,2,-7.089,0,0.0645,0.356,2.61E-5,0.329,0.151,121.888,254493,3
